feature,importance
BB_Lower,0.058788337
close_roll_std_10,0.057311747
close_roll_mean_10,0.054530192
EMA_20,0.052231703
RSI_roll_mean_10,0.051499538
RSI_roll_mean_5,0.050019763
pct_change_lag_3,0.04832319
pct_change_lag_1,0.047286656
RSI_roll_std_5,0.04722481
RSI,0.046148997
close_roll_std_5,0.045672312
MACD_Signal,0.045547344
MACD,0.045531124
OBV,0.045153636
close_zscore_20,0.04510199
pct_change_lag_5,0.044332366
BB_Upper,0.044143666
MACD_Hist,0.04369808
RSI_roll_std_10,0.043235444
close_roll_mean_5,0.04261359
volume,0.04160552
garch_vol_forecast,0.0
